Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Constantin  Möstl,1,0,0,1,100,0,0,0,0,0,14,35.9,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
2,* Lukas Hutecek,2,0,0,2,50,3,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
3,* Nicolai Theilinger,1,0,0,1,33.33,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
4,* Samuel Zehnder,2,2,66.67,0,66.67,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
7,* Ben Connar Battermann,1,0,0,1,100,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
8,* Frederik Simak,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
14,* Bobby Schagen,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
21,* Leve Carstensen,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
23,* Tim Suton,2,0,0,2,40,1,0,0,1,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
25,* Niels Gerardus Versteijnen,2,0,0,2,50,1,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
28,* Hendrik Wagner,4,0,0,4,57.14,0,2,0,1,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
35,* Jarnes Faust,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
48,* Leos Petrovsky,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
99,* Urh Kastelic,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"05.09.2024, 19:00"
1,* Adam Morawski,0,0,0,0,0,0,0,0,0,0,4,57.14,Away,MT Melsungen,"05.09.2024, 19:00"
4,* Nikolaj Enderleit,3,0,0,3,60,1,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
6,* Erik Balenciaga,2,0,0,2,66.67,2,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
7,* David Mandic,1,0,0,1,50,1,1,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
8,* Adrian Sipos,1,0,0,1,50,0,0,1,2,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
10,* Dainis Kristopans,5,0,0,5,71.43,4,1,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
11,* Dimitri Ignatow,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
13,* Rogerio  Moraes Ferreira,5,0,0,5,100,0,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
16,* Nebojsa Simic,0,0,0,0,0,0,0,0,0,0,10,38.46,Away,MT Melsungen,"05.09.2024, 19:00"
21,* Arnar Freyr Arnarsson,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
24,* Alexandre Cavalcanti,0,0,0,0,0,0,0,0,1,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
33,* Aaron  Mensing,4,0,0,4,66.67,2,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
53,* Bruno Eickhoff,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
71,* Mohamed Amine Darmoul,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
73,* Timo Kastening,4,0,0,4,80,0,0,1,0,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
83,* Ian Barrufet,2,1,33.33,1,33.33,0,0,1,1,0,0,0,Away,MT Melsungen,"05.09.2024, 19:00"
