Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Adam Nyfjäll,0,0,0,0,0,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
9,* Vilhelm Poulsen,2,0,0,2,100,0,0,0,1,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
10,* Renars Uscins,5,0,0,5,55.56,3,0,0,1,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
16,* Simon Gade,0,0,0,0,0,1,0,0,0,0,4,26.67,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
19,* Marius Steinhauser,10,6,75,4,71.43,0,0,0,2,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
22,* Marian Michalczik,2,0,0,2,100,2,1,0,2,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
23,* Uladzislau Kulesh,1,0,0,1,50,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
26,* Jonathan Edvardsson,2,0,0,2,50,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
28,* Maximilian  Gerbl,0,0,0,0,0,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
35,* Joel Birlehm,0,0,0,0,0,0,0,0,0,0,8,30.77,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
39,* Lukas Stutzke,1,0,0,1,33.33,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
42,* Martin Hanne,0,0,0,0,0,0,0,1,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
44,* Thomas Alfred Solstad,1,0,0,1,100,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
54,* Justus Fischer,3,0,0,3,60,0,1,1,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
56,* Hannes Feise,0,0,0,0,0,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
74,* Vincent Büchner,1,0,0,1,25,1,0,1,0,0,0,0,Home,TSV Hannover-Burgdorf,"05.09.2024, 19:00
Zuschauerzahl: 7122"
1,* Dominik Kuzmanović,0,0,0,0,0,0,0,1,0,0,18,40,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
4,* Ellidi Snaer Vidarsson,3,0,0,3,75,0,0,0,1,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
5,* Tilen Kodrin,1,0,0,1,50,1,0,0,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
6,* Milos Vujovic,8,5,83.33,3,88.89,0,0,0,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
7,* Julian Köster,4,0,0,4,66.67,4,0,1,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
8,* Lukas Blohme,5,1,100,4,71.43,0,0,1,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
11,* Mathis Häseler,2,0,0,2,100,0,0,1,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
14,* Teitur Örn Einarsson,1,0,0,1,33.33,4,0,0,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
16,* Bertram Obling,0,0,0,0,0,0,0,0,0,0,1,50,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
19,* Giorgi Tskhovrebadze,2,0,0,2,100,1,0,0,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
22,* Kentin Mahé,4,0,0,4,80,1,0,0,1,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
23,* Ole Pregler,0,0,0,0,0,1,0,0,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
27,* Kristjan Horzen,1,0,0,1,100,0,0,1,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
66,* Stepan Zeman,0,0,0,0,0,0,1,0,0,0,0,0,Away,VfL Gummersbach,"05.09.2024, 19:00
Zuschauerzahl: 7122"
