Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Mikael  Appelgren,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
5,* Ivan Martinovic,10,2,50,8,62.5,4,0,1,1,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
8,* Tim Nothdurft,3,0,0,3,60,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
9,* Steven Plucnar Jacobsen,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
10,* Juri Knorr,3,0,0,3,60,0,0,0,1,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
11,* Arnór Snær Óskarsson,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
13,* Sebastian Heymann,6,0,0,6,100,1,1,0,1,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
15,* David Móré,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
19,* Cedric Mayer,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
22,* Gustav Davidsson,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
24,* Patrick Groetzki,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
25,* Olle Forsell Schefvert,0,0,0,0,0,2,1,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
29,* David Späth,0,0,0,0,0,0,0,0,0,0,13,34.21,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
34,* Valentin Willner,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
42,* Jon Lindenchrone Andersen,5,0,0,5,62.5,0,1,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
45,* Halil Jaganjac,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
80,* Jannik Kohlbacher,5,0,0,5,83.33,1,1,0,1,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
81,* Magnus Grupe,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"05.09.2024, 20:30"
4,* Domagoj Duvnjak,2,0,0,2,33.33,1,1,1,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
6,* Harald Reinkind,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
7,* Magnus Landin Jacobsen,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
11,* Petter Øverby,2,0,0,2,66.67,0,0,0,1,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
12,* Leon Nowottny,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
16,* Tomas Mrkva,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
17,* Patrick Wiencek,0,0,0,0,0,0,0,0,1,1,0,0,Away,THW Kiel,"05.09.2024, 20:30"
19,* Henri Pabst,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
21,* Eric Johansson,5,0,0,5,83.33,6,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
23,* Rune Dahmke,2,0,0,2,66.67,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
24,* Lukas Zerbe,1,0,0,1,33.33,0,0,1,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
25,* Linus Kutz,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
33,* Andreas Wolff,0,0,0,0,0,0,0,0,0,0,15,33.33,Away,THW Kiel,"05.09.2024, 20:30"
34,* Samir Bellahcene,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
45,* Emil Wernsdorf  Madsen,10,0,0,10,76.92,2,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
49,* Karl Erik Edvin Wallinius,0,0,0,0,0,1,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
53,* Nikola Bilyk,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
61,* Hendrik Pekeler,4,0,0,4,57.14,0,0,0,2,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
71,* Elias Ellefsen á Skipagøtu,0,0,0,0,0,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
91,* Bence Imre,1,1,33.33,0,33.33,0,0,0,0,0,0,0,Away,THW Kiel,"05.09.2024, 20:30"
