Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
2,* Oskar Neudeck,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
5,* Rutger ten Velde,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
7,* Victor Klöve,1,0,0,1,33.33,1,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
9,* Andreas Flodman,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
12,* Julian Buchele,0,0,0,0,0,0,0,0,0,0,4,25,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
13,* Josip Sarac,3,0,0,3,75,2,1,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
16,* Tibor Ivanisevic,0,0,0,0,0,0,0,0,0,0,3,18.75,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
22,* Erik Persson,1,0,0,1,50,2,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
24,* Marcel Schiller,7,2,66.67,5,70,0,0,0,1,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
25,* Ludvig Jurmala Aström,0,0,0,0,0,1,0,0,1,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
27,* Oskar Sunnefeldt,4,0,0,4,66.67,3,0,1,1,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
28,* Franko Lastro,4,0,0,4,100,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
33,* Ymir Örn Gislason,1,0,0,1,50,0,0,1,1,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
40,* Elias Newel,1,0,0,1,50,1,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
77,* David Schmidt,3,0,0,3,75,1,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"06.09.2024, 19:00
Zuschauerzahl: 4400"
1,* Johannes Bitter,0,0,0,0,0,0,0,0,0,0,4,19.05,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
4,* Andreas Magaard,1,0,0,1,33.33,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
7,* Leif Tissier,6,0,0,6,66.67,4,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
9,* Jacob Arenth Lassen,4,0,0,4,57.14,0,0,1,2,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
13,* Niklas Weller,1,0,0,1,100,0,0,0,1,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
15,* Dominik Axmann,0,0,0,0,0,2,0,0,1,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
21,* Frederik Bo Andersen,5,2,100,3,100,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
24,* Alexander Hartwig,1,0,0,1,100,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
31,* Levin Unbehaun,0,0,0,0,0,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
32,* Finn Knaack,0,0,0,0,0,0,0,0,0,0,4,36.36,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
33,* Moritz Sauter,3,0,0,3,75,1,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
51,* Casper Mortensen,4,3,75,1,80,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
55,* Azat Valiullin,0,0,0,0,0,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"06.09.2024, 19:00
Zuschauerzahl: 4400"
