Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Benjamin Burić,0,0,0,0,0,0,0,0,0,0,4,20,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
2,* Simon  Pytlick,2,0,0,2,50,2,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
4,* Johannes Golla,1,0,0,1,100,0,0,2,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
5,* Niclas Kirkeløkke,5,0,0,5,100,3,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
19,* Oskar Czertowicz,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
20,* Kevin Møller,0,0,0,0,0,2,0,0,0,0,10,45.45,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
22,* Mads  Mensah Larsen,2,0,0,2,66.67,1,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
24,* Jim Gottfridsson,3,0,0,3,100,4,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
25,* Lukas Jørgensen,1,0,0,1,33.33,1,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
26,* Johan Hansen,4,0,0,4,66.67,1,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
27,* Aksel Horgen,1,0,0,1,100,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
29,* August Pedersen,1,0,0,1,100,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
31,* Emil Jakobsen,11,1,100,10,91.67,0,0,1,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
33,* Kay Smits,2,0,0,2,66.67,1,0,1,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
43,* Blaž Blagotinšek,1,0,0,1,100,0,0,0,1,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
64,* Lasse Møller,8,0,0,8,100,3,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"06.09.2024, 20:00
Zuschauerzahl: 6120"
4,* Stephan Seitz,3,0,0,3,100,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
6,* Marek Nissen,3,0,0,3,37.5,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
7,* Yannik Bialowas,0,0,0,0,0,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
8,* Sander Andreassen Øverjordet,3,0,0,3,60,2,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
10,* Veit Mävers,0,0,0,0,0,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
21,* Christopher Bissel,1,0,0,1,33.33,0,0,1,1,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
22,* Klemen Ferlin,0,0,0,0,0,0,0,0,0,0,3,13.64,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
27,* Antonio Metzner,1,0,0,1,33.33,0,1,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
28,* Jonathan Svensson,3,0,0,3,60,6,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
33,* Nikolai Link,0,0,0,0,0,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
44,* Christoph Steinert,3,0,0,3,100,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
55,* Tobias Wagner,2,0,0,2,50,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
67,* Hampus Olsson,2,0,0,2,100,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
95,* Tim Gömmel,4,3,100,1,80,0,0,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
96,* Khalifa Ghedbane,0,0,0,0,0,1,0,0,0,0,5,17.86,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
99,* Stefan Bauer,3,0,0,3,60,0,1,0,0,0,0,0,Away,HC Erlangen,"06.09.2024, 20:00
Zuschauerzahl: 6120"
