Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Sergey Hernández Ferrer,0,0,0,0,0,0,0,0,0,0,13,31.71,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
3,* Isak Persson,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
6,* Matthias Musche,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
8,* Manuel Zehnder,2,0,0,2,100,2,0,0,1,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
9,* Tim Zechel,1,0,0,1,100,0,0,0,1,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
10,* Gisli Thorgeir Kristjansson,6,0,0,6,66.67,1,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
11,* Daniel Pettersson,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
14,* Omar Ingi Magnusson,9,5,83.33,4,90,1,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
15,* Antonio Serradilla Cuenca,0,0,0,0,0,3,0,3,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
20,* Philipp Weber,7,0,0,7,58.33,0,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
21,* Albin Lagergren,1,0,0,1,100,1,0,0,1,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
22,* Lukas Mertens,4,0,0,4,80,1,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
23,* Magnus Saugstrup,2,0,0,2,66.67,2,1,2,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
24,* Christian O'Sullivan,1,0,0,1,100,3,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
34,* Michael Damgaard,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
80,* Nikola Portner,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"07.09.2024, 18:00
Zuschauerzahl: 6600"
5,* Rasmus Meyer Ejlersen,3,0,0,3,100,0,0,0,1,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
7,* Dominik Mappes,4,0,0,4,80,1,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
9,* Ole Klimpke,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
10,* Zolt  Krakovszki,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
11,* Till Klimpke,0,0,0,0,0,0,0,0,0,0,5,23.81,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
12,* Anadin Suljakovic,0,0,0,0,0,0,0,0,0,0,7,30.43,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
14,* Vladimir Vranjes,3,0,0,3,100,0,0,0,1,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
18,* Lukas Becher,0,0,0,0,0,0,0,0,1,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
19,* Philipp Ahouansou,5,0,0,5,50,1,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
22,* Jona Schoch,2,0,0,2,100,1,0,0,1,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
25,* Justin Müller,1,0,0,1,100,2,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
33,* Georg Löwen,1,0,0,1,100,0,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
42,* Nemanja Zelenovic,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
50,* Lion Zacharias,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
75,* Domen Novak,7,3,75,4,87.5,0,0,1,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
77,* Stefan Cavor,2,0,0,2,50,2,0,0,0,0,0,0,Away,HSG Wetzlar,"07.09.2024, 18:00
Zuschauerzahl: 6600"
