Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Matija Spikic,0,0,0,0,0,0,0,0,0,0,3,25,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
4,* Filip Vistorop,2,0,0,2,40,1,0,0,1,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
5,* Timothy Reichmuth,3,0,0,3,75,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
6,* Aleksandar Capric,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
10,* Fynn Hangstein,6,4,80,2,85.71,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
11,* Gian Attenhofer,1,1,50,0,50,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
12,* Silvio Heinevetter,0,0,0,0,0,0,0,0,0,0,5,14.29,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
15,* Simone Mengon,4,0,0,4,66.67,3,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
17,* Marko Grgic,6,0,0,6,75,4,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
21,* Moritz Ende,6,0,0,6,85.71,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
22,* Justin Kurch,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
27,* Philipp Meyer,0,0,0,0,0,1,0,0,1,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
31,* Bastian Freitag,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
34,* Rok Maric,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
39,* Malte Donker,6,0,0,6,75,1,0,0,1,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
47,* Dustin Kraus,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
52,* Justin Kurch,1,0,0,1,100,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
82,* Ivan Snajder,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"07.09.2024, 20:00
Zuschauerzahl: 2775"
1,* Lasse Ludwig,0,0,0,0,0,0,0,0,0,0,7,33.33,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
3,* Fabian Wiede,0,0,0,0,0,3,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
5,* Max Darj,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
9,* Jerry Tollbring,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
11,* Lasse Bredekjaer Andersson,7,0,0,7,70,3,0,1,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
17,* Nils Lichtlein,3,0,0,3,100,2,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
19,* Mathias Gidsel,12,0,0,12,92.31,2,0,0,2,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
20,* Tim Freihöfer,12,6,100,6,100,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
25,* Matthes Langhoff,1,0,0,1,50,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
26,* Valter Chrintz,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
27,* Max Beneke,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
29,* Lukas Herburger,2,0,0,2,100,0,0,0,1,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
34,* Hakun West av Teigum,1,0,0,1,100,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
36,* Tobias Reichmann,1,0,0,1,100,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
93,* Mijajlo Marsenic,1,0,0,1,50,0,0,0,1,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
95,* Paul Drux,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
96,* Dejan Milosavljev,1,0,0,1,100,1,0,0,0,0,6,22.22,Away,Füchse Berlin,"07.09.2024, 20:00
Zuschauerzahl: 2775"
