Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Domenico Ebner,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
4,* Andri Mar Runarsson,2,0,0,2,50,4,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
5,* Simon Ernst,3,0,0,3,100,1,4,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
7,* Luca Witzke,5,0,0,5,62.5,3,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
8,* Lucas Krzikalla,1,0,0,1,100,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
9,* Nils Greilich,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
11,* Lukas Binder,4,0,0,4,80,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
12,* Kristian Sæverås,0,0,0,0,0,0,0,0,0,0,10,41.67,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
13,* Matej Klima,7,0,0,7,70,5,0,1,1,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
14,* Marko Mamic,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
18,* Staffan Peter,3,0,0,3,75,1,0,1,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
24,* Moritz Preuss,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
29,* Friedrich Schmitt,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
32,* Franz Semper,1,0,0,1,100,1,0,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
33,* Luka Rogan,2,0,0,2,66.67,0,1,0,0,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
73,* Viggó Kristjánsson,5,1,100,4,71.43,2,0,0,1,0,0,0,Home,SC DHfK Leipzig,"08.09.2024, 15:00
Zuschauerzahl: 3692"
0,* Luca Tschentscher,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
1,* Luca Krivokapic,0,0,0,0,0,1,0,0,0,0,3,25,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
2,* Nico Bacani,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
3,* Max Häfner,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
5,* Jorge Serrano Villalobos,1,0,0,1,33.33,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
6,* Daniel Fernandez Jimenez,4,1,100,3,66.67,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
8,* Nico Schöttle,1,0,0,1,25,5,2,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
9,* Gianfranco Pribetic,5,0,0,5,71.43,1,1,0,2,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
10,* Jonas Truchanovicius,0,0,0,0,0,0,1,0,1,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
11,* Bruno Reguart Massana,1,0,0,1,50,2,0,1,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
13,* Achilleas Toskas,1,0,0,1,50,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
14,* Ante Ivankovic,2,0,0,2,100,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
16,* Miljan Vujovic,0,0,0,0,0,0,0,0,0,0,5,20,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
17,* Samuel Röthlisberger,2,0,0,2,100,0,5,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
24,* Lukas Laube,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
25,* Patrick Zieker,1,0,0,1,100,0,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
34,* Kai Häfner,2,0,0,2,40,3,0,0,0,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
44,* Lenny Rubin,4,0,0,4,50,1,0,0,1,0,0,0,Away,TVB Stuttgart,"08.09.2024, 15:00
Zuschauerzahl: 3692"
