Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Frederik Höler,0,0,0,0,0,0,0,0,0,0,2,22.22,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
2,* Emil Hansson,0,0,0,0,0,0,0,0,2,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
5,* Josip Simic,4,0,0,4,66.67,0,0,0,2,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
6,* Marvin Siemer,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
7,* Nicolas Paulnsteiner,0,0,0,0,0,0,0,0,1,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
10,* Elias Kofler,3,0,0,3,60,4,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
12,* Martin Tomovski,0,0,0,0,0,0,0,0,0,0,7,25.93,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
13,* Ole Schramm,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
14,* Max Günther,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
17,* Jannek Klein,3,0,0,3,60,4,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
19,* David Cyrill Akakpo,4,0,0,4,80,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
22,* Maxim Orlov,6,0,0,6,85.71,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
23,* Sergey Gorpishin,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
27,* Nils Fuhrmann,5,3,75,2,83.33,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
28,* Marvin Kix,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
35,* Nicholas Schley,1,0,0,1,50,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"08.09.2024, 16:30
Zuschauerzahl: 1535"
3,* Nikola Vlahovic,2,0,0,2,100,1,1,0,1,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
5,* Julius Kühn,3,0,0,3,50,2,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
7,* Dominik Claus,3,0,0,3,100,3,0,0,1,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
10,* Tom Wolf,4,1,100,3,66.67,1,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
12,* Filip Baranasic,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
13,* Juan de la Peña,3,0,0,3,100,1,0,1,1,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
14,* Fynn-Luca Nicolaus,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
16,* Fredrik Genz,0,0,0,0,0,0,0,0,0,0,6,20,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
18,* Fabian Wiederstein,2,0,0,2,66.67,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
19,* Gonzalo Perez Arce,5,0,0,5,83.33,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
20,* Paco Barthe,0,0,0,0,0,1,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
24,* Jona Bader,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
31,* Alexander Pfeifer,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
36,* Jonathan Fischer,3,0,0,3,75,0,0,0,1,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
41,* Till Hermann,3,0,0,3,75,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
64,* Maximilian Hejny,0,0,0,0,0,1,0,0,0,0,0,0,Away,SG BBM Bietigheim,"08.09.2024, 16:30
Zuschauerzahl: 1535"
