Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Adam Morawski,0,0,0,0,0,0,0,0,0,0,11,37.93,Home,MT Melsungen,"12.09.2024, 19:00"
4,* Nikolaj Enderleit,5,0,0,5,83.33,4,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
6,* Erik Balenciaga,3,0,0,3,75,1,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
7,* David Mandic,1,0,0,1,100,0,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
8,* Adrian Sipos,0,0,0,0,0,0,1,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
10,* Dainis Kristopans,1,0,0,1,100,5,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
11,* Dimitri Ignatow,3,0,0,3,75,2,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
13,* Rogerio  Moraes Ferreira,3,0,0,3,75,0,1,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
16,* Nebojsa Simic,0,0,0,0,0,0,0,0,0,0,2,28.57,Home,MT Melsungen,"12.09.2024, 19:00"
19,* Elvar Örn Jonsson,2,0,0,2,50,0,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
21,* Arnar Freyr Arnarsson,2,0,0,2,100,0,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
24,* Alexandre Cavalcanti,3,0,0,3,60,0,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
33,* Aaron  Mensing,1,0,0,1,50,1,1,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
71,* Mohamed Amine Darmoul,0,0,0,0,0,2,0,0,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
73,* Timo Kastening,5,0,0,5,62.5,0,0,1,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
83,* Ian Barrufet,2,0,0,2,50,0,0,1,0,0,0,0,Home,MT Melsungen,"12.09.2024, 19:00"
2,* Emil Hansson,1,0,0,1,100,2,0,0,2,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
5,* Josip Simic,6,0,0,6,75,0,0,0,1,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
6,* Marvin Siemer,2,1,50,1,66.67,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
7,* Nicolas Paulnsteiner,0,0,0,0,0,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
10,* Elias Kofler,3,0,0,3,50,5,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
12,* Martin Tomovski,0,0,0,0,0,0,0,0,0,0,5,20.83,Away,1. VfL Potsdam,"12.09.2024, 19:00"
13,* Ole Schramm,0,0,0,0,0,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
14,* Max Günther,0,0,0,0,0,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
17,* Jannek Klein,4,0,0,4,57.14,1,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
19,* David Cyrill Akakpo,2,0,0,2,66.67,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
22,* Maxim Orlov,1,0,0,1,25,2,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
23,* Sergey Gorpishin,0,0,0,0,0,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
27,* Nils Fuhrmann,3,2,100,1,100,0,0,0,1,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
28,* Marvin Kix,0,0,0,0,0,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
35,* Nicholas Schley,1,0,0,1,50,0,0,0,0,0,0,0,Away,1. VfL Potsdam,"12.09.2024, 19:00"
77,* Mark Ferjan,0,0,0,0,0,0,0,0,0,0,6,33.33,Away,1. VfL Potsdam,"12.09.2024, 19:00"
