Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Domagoj Duvnjak,3,0,0,3,50,5,1,0,1,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
7,* Magnus Landin Jacobsen,3,0,0,3,75,1,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
11,* Petter Øverby,1,0,0,1,50,0,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
17,* Patrick Wiencek,1,0,0,1,100,0,0,0,1,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
19,* Henri Pabst,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
21,* Eric Johansson,6,0,0,6,85.71,4,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
23,* Rune Dahmke,1,0,0,1,50,0,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
24,* Lukas Zerbe,4,0,0,4,50,0,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
25,* Linus Kutz,0,0,0,0,0,1,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
33,* Andreas Wolff,0,0,0,0,0,0,0,0,0,0,11,36.67,Home,THW Kiel,"12.09.2024, 19:00"
34,* Samir Bellahcene,0,0,0,0,0,0,0,0,0,0,2,33.33,Home,THW Kiel,"12.09.2024, 19:00"
45,* Emil Wernsdorf  Madsen,9,5,100,4,75,1,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
61,* Hendrik Pekeler,3,0,0,3,75,2,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
91,* Bence Imre,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,THW Kiel,"12.09.2024, 19:00"
2,* Oskar Neudeck,1,0,0,1,50,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
5,* Rutger ten Velde,1,0,0,1,100,0,0,0,1,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
7,* Victor Klöve,0,0,0,0,0,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
9,* Andreas Flodman,2,0,0,2,100,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
12,* Julian Buchele,0,0,0,0,0,0,0,0,0,0,5,35.71,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
13,* Josip Sarac,2,0,0,2,50,0,1,0,1,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
16,* Tibor Ivanisevic,0,0,0,0,0,0,0,0,0,0,5,18.52,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
20,* Ludvig Hallbäck,1,0,0,1,50,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
22,* Erik Persson,6,0,0,6,75,1,0,0,1,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
24,* Marcel Schiller,1,1,50,0,25,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
25,* Ludvig Jurmala Aström,3,0,0,3,60,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
27,* Oskar Sunnefeldt,0,0,0,0,0,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
28,* Franko Lastro,1,0,0,1,33.33,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
33,* Ymir Örn Gislason,2,0,0,2,66.67,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
40,* Elias Newel,1,0,0,1,100,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
77,* David Schmidt,3,0,0,3,75,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"12.09.2024, 19:00"
