Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Stephan Seitz,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
6,* Marek Nissen,3,0,0,3,60,3,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
7,* Yannik Bialowas,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
8,* Sander Andreassen Øverjordet,3,0,0,3,50,1,0,0,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
10,* Florian Scheerer,1,0,0,1,33.33,0,0,0,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
21,* Christopher Bissel,2,0,0,2,66.67,2,0,2,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
22,* Klemen Ferlin,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
27,* Antonio Metzner,3,0,0,3,60,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
28,* Jonathan Svensson,1,0,0,1,100,0,0,0,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
33,* Nikolai Link,0,0,0,0,0,0,1,0,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
44,* Christoph Steinert,3,0,0,3,75,0,0,0,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
55,* Tobias Wagner,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
67,* Hampus Olsson,4,0,0,4,66.67,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
95,* Tim Gömmel,3,3,75,0,75,0,0,0,0,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
96,* Khalifa Ghedbane,0,0,0,0,0,1,0,0,0,0,8,33.33,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
99,* Stefan Bauer,1,0,0,1,100,0,0,0,1,0,0,0,Home,HC Erlangen,"13.09.2024, 19:00
Zuschauerzahl: 5376"
1,* Matija Spikic,0,0,0,0,0,0,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
4,* Filip Vistorop,1,0,0,1,25,1,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
5,* Timothy Reichmuth,1,0,0,1,100,0,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
11,* Gian Attenhofer,2,2,50,0,50,0,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
12,* Silvio Heinevetter,0,0,0,0,0,0,0,0,0,0,8,25.81,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
14,* Peter Walz,1,0,0,1,100,0,1,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
15,* Simone Mengon,3,0,0,3,75,2,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
17,* Marko Grgic,4,1,100,3,50,9,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
21,* Moritz Ende,7,0,0,7,100,0,0,1,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
27,* Philipp Meyer,3,0,0,3,100,0,0,0,2,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
34,* Rok Maric,0,0,0,0,0,0,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
39,* Malte Donker,1,0,0,1,100,1,0,0,2,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
47,* Dustin Kraus,2,0,0,2,100,0,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
52,* Justin Kurch,1,0,0,1,100,0,0,0,2,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
82,* Ivan Snajder,2,0,0,2,100,0,0,0,1,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
95,* Alexander Saul,0,0,0,0,0,0,0,0,0,0,0,0,Away,ThSV Eisenach,"13.09.2024, 19:00
Zuschauerzahl: 5376"
