Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
3,* Nikola Vlahovic,3,0,0,3,100,1,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
5,* Julius Kühn,2,0,0,2,40,2,2,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
7,* Dominik Claus,3,0,0,3,50,1,0,1,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
10,* Tom Wolf,0,0,0,0,0,2,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
12,* Filip Baranasic,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
13,* Juan de la Peña,0,0,0,0,0,0,0,0,1,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
14,* Fynn-Luca Nicolaus,1,1,100,0,100,1,0,0,1,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
16,* Fredrik Genz,0,0,0,0,0,0,0,0,0,0,13,29.55,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
18,* Fabian Wiederstein,0,0,0,0,0,0,0,0,1,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
19,* Gonzalo Perez Arce,2,2,100,0,66.67,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
20,* Paco Barthe,1,0,0,1,50,1,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
29,* Moritz Strosack,5,0,0,5,100,0,0,1,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
31,* Alexander Pfeifer,3,0,0,3,50,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
36,* Jonathan Fischer,4,0,0,4,57.14,1,0,0,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
41,* Till Hermann,1,0,0,1,50,2,0,2,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
64,* Maximilian Hejny,0,0,0,0,0,0,0,1,0,0,0,0,Home,SG BBM Bietigheim,"14.09.2024, 19:00
Zuschauerzahl: 3444"
1,* Mikael  Appelgren,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
5,* Ivan Martinovic,11,5,100,6,84.62,3,0,1,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
8,* Tim Nothdurft,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
9,* Steven Plucnar Jacobsen,2,0,0,2,40,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
10,* Juri Knorr,8,0,0,8,72.73,2,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
11,* Arnór Snær Óskarsson,0,0,0,0,0,1,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
13,* Sebastian Heymann,1,0,0,1,50,0,1,0,4,2,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
15,* David Móré,3,0,0,3,75,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
22,* Gustav Davidsson,1,0,0,1,33.33,1,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
24,* Patrick Groetzki,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
25,* Olle Forsell Schefvert,2,0,0,2,100,3,1,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
29,* David Späth,0,0,0,0,0,3,0,0,0,0,21,46.67,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
42,* Jon Lindenchrone Andersen,4,0,0,4,66.67,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
80,* Jannik Kohlbacher,1,0,0,1,25,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"14.09.2024, 19:00
Zuschauerzahl: 3444"
