Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Johannes Bitter,0,0,0,0,0,0,0,0,0,0,2,10.53,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
4,* Andreas Magaard,2,0,0,2,100,0,0,0,1,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
7,* Leif Tissier,2,0,0,2,100,3,1,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
9,* Jacob Arenth Lassen,5,0,0,5,50,2,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
13,* Niklas Weller,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
15,* Dominik Axmann,4,0,0,4,80,0,0,0,2,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
21,* Frederik Bo Andersen,7,2,66.67,5,77.78,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
24,* Alexander Hartwig,1,0,0,1,100,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
31,* Levin Unbehaun,1,0,0,1,100,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
32,* Finn Knaack,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
33,* Moritz Sauter,1,0,0,1,33.33,2,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
51,* Casper Mortensen,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
55,* Azat Valiullin,1,0,0,1,100,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
1,* Sergey Hernández Ferrer,0,0,0,0,0,0,0,0,0,0,7,22.58,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
3,* Isak Persson,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
6,* Matthias Musche,9,0,0,9,90,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
8,* Manuel Zehnder,3,0,0,3,100,1,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
9,* Tim Zechel,2,0,0,2,100,0,0,0,1,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
10,* Gisli Thorgeir Kristjansson,1,0,0,1,33.33,5,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
11,* Daniel Pettersson,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
14,* Omar Ingi Magnusson,5,4,100,1,83.33,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
15,* Antonio Serradilla Cuenca,1,0,0,1,100,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
20,* Philipp Weber,5,0,0,5,100,2,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
21,* Albin Lagergren,2,0,0,2,100,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
22,* Lukas Mertens,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
23,* Magnus Saugstrup,3,0,0,3,100,1,0,0,1,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
24,* Christian O'Sullivan,1,0,0,1,100,1,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
34,* Michael Damgaard,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
80,* Nikola Portner,0,0,0,0,0,0,0,0,0,0,1,50,Away,SC Magdeburg,"15.09.2024, 15:00
Zuschauerzahl: 4481"
