Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Dominik Kuzmanović,0,0,0,0,0,1,0,0,0,0,5,22.73,Home,VfL Gummersbach,"15.09.2024, 16:30"
4,* Ellidi Snaer Vidarsson,4,0,0,4,80,0,0,1,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
5,* Tilen Kodrin,3,0,0,3,100,0,1,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
6,* Milos Vujovic,3,2,100,1,75,0,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
7,* Julian Köster,3,0,0,3,50,1,2,0,1,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
8,* Lukas Blohme,4,0,0,4,100,1,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
11,* Mathis Häseler,0,0,0,0,0,0,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
14,* Teitur Örn Einarsson,3,0,0,3,27.27,3,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
15,* Miro Schluroff,3,0,0,3,100,2,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
16,* Bertram Obling,0,0,0,0,0,0,0,0,0,0,5,29.41,Home,VfL Gummersbach,"15.09.2024, 16:30"
19,* Giorgi Tskhovrebadze,0,0,0,0,0,0,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
22,* Kentin Mahé,0,0,0,0,0,1,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
23,* Ole Pregler,0,0,0,0,0,4,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
27,* Kristjan Horzen,4,0,0,4,80,1,0,0,0,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
66,* Stepan Zeman,0,0,0,0,0,0,2,0,1,0,0,0,Home,VfL Gummersbach,"15.09.2024, 16:30"
1,* Constantin  Möstl,0,0,0,0,0,0,0,0,0,0,12,32.43,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
2,* Lukas Hutecek,3,0,0,3,50,5,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
3,* Nicolai Theilinger,0,0,0,0,0,1,0,0,1,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
4,* Samuel Zehnder,3,3,100,0,100,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
5,* Jan Brosch,3,0,0,3,75,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
7,* Ben Connar Battermann,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
8,* Frederik Simak,1,0,0,1,100,0,1,0,1,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
14,* Bobby Schagen,2,0,0,2,50,1,0,1,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
21,* Leve Carstensen,4,0,0,4,100,0,0,1,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
23,* Tim Suton,7,0,0,7,100,1,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
25,* Niels Gerardus Versteijnen,4,0,0,4,44.44,1,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
28,* Hendrik Wagner,2,0,0,2,40,1,0,0,1,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
37,* Frederik Puls,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
39,* Meeno Carstensen,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
99,* Urh Kastelic,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"15.09.2024, 16:30"
