Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
5,* Rasmus Meyer Ejlersen,0,0,0,0,0,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
7,* Dominik Mappes,2,0,0,2,40,1,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
10,* Zolt  Krakovszki,0,0,0,0,0,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
11,* Till Klimpke,0,0,0,0,0,0,0,0,0,0,3,13.64,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
12,* Anadin Suljakovic,0,0,0,0,0,0,0,0,0,0,3,21.43,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
14,* Vladimir Vranjes,1,0,0,1,100,0,0,0,2,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
17,* Noel Hoepfner,0,0,0,0,0,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
18,* Lukas Becher,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
19,* Philipp Ahouansou,7,0,0,7,70,0,0,1,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
22,* Jona Schoch,0,0,0,0,0,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
25,* Justin Müller,4,0,0,4,66.67,1,0,0,1,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
33,* Georg Löwen,1,0,0,1,100,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
42,* Nemanja Zelenovic,0,0,0,0,0,1,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
50,* Lion Zacharias,0,0,0,0,0,0,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
75,* Domen Novak,3,2,100,1,100,1,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
77,* Stefan Cavor,5,0,0,5,100,3,0,0,0,0,0,0,Home,HSG Wetzlar,"15.09.2024, 16:30
Zuschauerzahl: 4275"
4,* Adam Nyfjäll,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
9,* Vilhelm Poulsen,1,0,0,1,50,1,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
10,* Renars Uscins,7,0,0,7,87.5,1,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
16,* Simon Gade,0,0,0,0,0,3,0,0,0,0,8,36.36,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
19,* Marius Steinhauser,6,2,50,4,66.67,1,0,1,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
22,* Marian Michalczik,0,0,0,0,0,4,0,0,1,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
23,* Uladzislau Kulesh,2,0,0,2,100,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
26,* Jonathan Edvardsson,3,0,0,3,75,4,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
28,* Maximilian  Gerbl,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
35,* Joel Birlehm,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
39,* Lukas Stutzke,2,0,0,2,100,2,0,0,1,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
42,* Martin Hanne,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
44,* Thomas Alfred Solstad,1,0,0,1,100,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
54,* Justus Fischer,9,1,100,8,100,0,1,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
56,* Hannes Feise,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
74,* Vincent Büchner,5,0,0,5,71.43,1,0,1,0,0,0,0,Away,TSV Hannover-Burgdorf,"15.09.2024, 16:30
Zuschauerzahl: 4275"
