Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Luca Krivokapic,0,0,0,0,0,0,0,0,0,0,1,10,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
2,* Nico Bacani,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
5,* Jorge Serrano Villalobos,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
6,* Daniel Fernandez Jimenez,1,1,100,0,100,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
8,* Nico Schöttle,1,0,0,1,33.33,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
9,* Gianfranco Pribetic,5,0,0,5,62.5,0,0,1,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
11,* Bruno Reguart Massana,0,0,0,0,0,1,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
13,* Achilleas Toskas,1,0,0,1,50,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
14,* Ante Ivankovic,4,0,0,4,57.14,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
16,* Miljan Vujovic,0,0,0,0,0,0,0,0,1,0,10,25,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
17,* Samuel Röthlisberger,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
25,* Patrick Zieker,1,0,0,1,50,0,0,0,1,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
34,* Kai Häfner,7,0,0,7,87.5,5,0,0,0,0,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
44,* Lenny Rubin,5,0,0,5,55.56,0,0,0,1,1,0,0,Home,TVB Stuttgart,"15.09.2024, 16:30
Zuschauerzahl: 5874"
1,* Benjamin Burić,0,0,0,0,0,0,0,0,0,0,1,10,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
2,* Simon  Pytlick,2,0,0,2,50,2,1,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
4,* Johannes Golla,2,0,0,2,66.67,0,4,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
5,* Niclas Kirkeløkke,6,0,0,6,100,3,1,0,1,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
20,* Kevin Møller,0,0,0,0,0,0,0,0,0,0,10,38.46,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
22,* Mads  Mensah Larsen,5,0,0,5,100,1,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
24,* Jim Gottfridsson,2,0,0,2,66.67,3,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
25,* Lukas Jørgensen,7,0,0,7,87.5,3,0,1,1,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
26,* Johan Hansen,2,0,0,2,100,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
27,* Aksel Horgen,1,0,0,1,50,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
29,* August Pedersen,1,0,0,1,50,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
31,* Emil Jakobsen,6,1,33.33,5,66.67,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
33,* Kay Smits,1,0,0,1,25,1,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
43,* Blaž Blagotinšek,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
64,* Lasse Møller,4,1,100,3,80,2,0,1,0,0,0,0,Away,SG Flensburg-Handewitt,"15.09.2024, 16:30
Zuschauerzahl: 5874"
