Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Lasse Ludwig,0,0,0,0,0,0,0,0,0,0,6,27.27,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
3,* Fabian Wiede,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
5,* Max Darj,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
9,* Jerry Tollbring,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
11,* Lasse Bredekjaer Andersson,5,0,0,5,50,12,0,1,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
17,* Nils Lichtlein,4,0,0,4,66.67,2,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
19,* Mathias Gidsel,8,0,0,8,80,5,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
20,* Tim Freihöfer,7,3,75,4,77.78,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
25,* Matthes Langhoff,1,0,0,1,100,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
27,* Max Beneke,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
29,* Lukas Herburger,1,0,0,1,100,0,0,0,1,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
34,* Hakun West av Teigum,5,0,0,5,83.33,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
36,* Tobias Reichmann,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
93,* Mijajlo Marsenic,4,0,0,4,80,0,1,0,1,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
95,* Paul Drux,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
96,* Dejan Milosavljev,0,0,0,0,0,0,0,0,0,0,8,33.33,Home,Füchse Berlin,"15.09.2024, 18:00
Zuschauerzahl: 7011"
1,* Domenico Ebner,0,0,0,0,0,0,0,0,0,0,6,23.08,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
4,* Andri Mar Runarsson,4,0,0,4,66.67,1,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
5,* Simon Ernst,0,0,0,0,0,1,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
7,* Luca Witzke,3,0,0,3,42.86,1,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
8,* Lucas Krzikalla,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
9,* Nils Greilich,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
11,* Lukas Binder,6,1,100,5,85.71,0,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
12,* Kristian Sæverås,0,0,0,0,0,0,0,0,0,0,5,23.81,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
13,* Matej Klima,5,0,0,5,50,2,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
14,* Marko Mamic,0,0,0,0,0,0,1,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
18,* Staffan Peter,5,0,0,5,83.33,0,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
24,* Moritz Preuss,0,0,0,0,0,0,0,0,1,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
29,* Friedrich Schmitt,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
32,* Franz Semper,7,0,0,7,58.33,6,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
33,* Luka Rogan,2,0,0,2,100,0,0,0,1,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
73,* Viggó Kristjánsson,0,0,0,0,0,0,0,0,0,0,0,0,Away,SC DHfK Leipzig,"15.09.2024, 18:00
Zuschauerzahl: 7011"
