Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Constantin  Möstl,0,0,0,0,0,0,0,0,0,0,11,44,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
2,* Lukas Hutecek,2,0,0,2,66.67,3,0,0,1,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
3,* Nicolai Theilinger,1,0,0,1,100,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
4,* Samuel Zehnder,6,3,100,3,85.71,1,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
5,* Jan Brosch,0,0,0,0,0,0,1,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
7,* Ben Connar Battermann,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
8,* Frederik Simak,5,0,0,5,55.56,1,0,0,1,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
14,* Bobby Schagen,2,0,0,2,50,2,0,2,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
21,* Leve Carstensen,0,0,0,0,0,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
23,* Tim Suton,5,0,0,5,62.5,1,0,0,1,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
25,* Niels Gerardus Versteijnen,5,0,0,5,83.33,3,1,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
28,* Hendrik Wagner,1,0,0,1,50,1,0,0,1,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
37,* Frederik Puls,0,0,0,0,0,0,0,0,1,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
40,* Meeno Carstensen,1,0,0,1,50,0,0,0,0,0,0,0,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
99,* Urh Kastelic,0,0,0,0,0,0,0,0,0,0,1,8.33,Home,TBV Lemgo Lippe,"19.09.2024, 19:00"
5,* Rasmus Meyer Ejlersen,1,0,0,1,100,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
7,* Dominik Mappes,1,0,0,1,20,4,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
10,* Zolt  Krakovszki,1,0,0,1,50,1,0,1,1,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
11,* Till Klimpke,0,0,0,0,0,1,0,0,0,0,11,28.95,Away,HSG Wetzlar,"19.09.2024, 19:00"
12,* Anadin Suljakovic,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
14,* Vladimir Vranjes,1,0,0,1,100,2,0,0,1,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
18,* Lukas Becher,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
19,* Philipp Ahouansou,6,0,0,6,60,1,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
22,* Jona Schoch,2,0,0,2,50,0,0,0,1,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
25,* Justin Müller,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
33,* Georg Löwen,3,0,0,3,100,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
42,* Nemanja Zelenovic,2,0,0,2,66.67,2,1,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
50,* Lion Zacharias,4,2,100,2,100,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
75,* Domen Novak,1,0,0,1,33.33,0,0,0,0,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
77,* Stefan Cavor,3,0,0,3,60,0,0,0,1,0,0,0,Away,HSG Wetzlar,"19.09.2024, 19:00"
