Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Matija Spikic,0,0,0,0,0,0,0,0,0,0,6,19.35,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
4,* Filip Vistorop,2,0,0,2,40,0,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
5,* Timothy Reichmuth,4,0,0,4,100,0,0,1,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
6,* Aleksandar Capric,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
10,* Fynn Hangstein,1,0,0,1,25,0,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
11,* Gian Attenhofer,1,0,0,1,100,0,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
12,* Silvio Heinevetter,0,0,0,0,0,0,0,0,0,0,3,25,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
14,* Peter Walz,1,0,0,1,100,0,1,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
15,* Simone Mengon,1,0,0,1,33.33,3,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
17,* Marko Grgic,14,3,100,11,73.68,5,0,0,1,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
21,* Moritz Ende,2,0,0,2,66.67,0,0,0,1,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
27,* Philipp Meyer,1,0,0,1,100,0,1,0,1,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
39,* Malte Donker,2,0,0,2,50,1,0,1,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
47,* Dustin Kraus,2,0,0,2,66.67,2,1,1,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
52,* Justin Kurch,1,0,0,1,50,0,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
95,* Alexander Saul,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"19.09.2024, 19:00
Zuschauerzahl: 2670"
3,* Nikola Vlahovic,5,0,0,5,100,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
5,* Julius Kühn,6,0,0,6,75,2,1,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
7,* Dominik Claus,3,0,0,3,60,3,0,0,1,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
10,* Tom Wolf,0,0,0,0,0,0,0,0,1,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
13,* Juan de la Peña,7,0,0,7,77.78,4,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
14,* Fynn-Luca Nicolaus,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
16,* Fredrik Genz,0,0,0,0,0,1,0,0,0,0,14,31.82,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
18,* Fabian Wiederstein,1,0,0,1,50,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
19,* Gonzalo Perez Arce,1,0,0,1,33.33,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
20,* Paco Barthe,0,0,0,0,0,0,0,1,1,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
29,* Moritz Strosack,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
31,* Alexander Pfeifer,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
36,* Jonathan Fischer,3,0,0,3,100,2,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
41,* Till Hermann,7,0,0,7,77.78,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
64,* Maximilian Hejny,2,0,0,2,100,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
94,* Daniel Rebmann,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG BBM Bietigheim,"19.09.2024, 19:00
Zuschauerzahl: 2670"
