Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Stephan Seitz,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
6,* Marek Nissen,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
8,* Sander Andreassen Øverjordet,4,0,0,4,66.67,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
10,* Florian Scheerer,1,0,0,1,100,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
20,* Nico Büdel,1,0,0,1,33.33,3,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
21,* Christopher Bissel,5,0,0,5,83.33,1,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
22,* Klemen Ferlin,0,0,0,0,0,2,0,0,0,0,9,36,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
27,* Antonio Metzner,4,0,0,4,100,1,0,1,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
28,* Jonathan Svensson,1,0,0,1,25,3,1,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
33,* Nikolai Link,0,0,0,0,0,0,2,0,1,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
44,* Christoph Steinert,2,0,0,2,100,1,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
55,* Tobias Wagner,1,0,0,1,50,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
67,* Hampus Olsson,3,0,0,3,75,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
95,* Tim Gömmel,2,2,66.67,0,66.67,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
96,* Khalifa Ghedbane,0,0,0,0,0,0,0,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
99,* Stefan Bauer,1,0,0,1,50,0,2,0,0,0,0,0,Home,HC Erlangen,"20.09.2024, 19:00
Zuschauerzahl: 4687"
1,* Luca Krivokapic,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
2,* Nico Bacani,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
5,* Jorge Serrano Villalobos,2,0,0,2,100,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
6,* Daniel Fernandez Jimenez,4,0,0,4,80,0,0,2,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
8,* Nico Schöttle,2,0,0,2,50,1,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
9,* Gianfranco Pribetic,6,0,0,6,100,0,1,0,1,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
11,* Bruno Reguart Massana,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
13,* Achilleas Toskas,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
14,* Ante Ivankovic,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
16,* Miljan Vujovic,0,0,0,0,0,1,0,0,0,0,11,32.35,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
17,* Samuel Röthlisberger,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
20,* Luca Tschentscher,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
24,* Lukas Laube,0,0,0,0,0,0,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
25,* Patrick Zieker,4,0,0,4,66.67,1,0,0,1,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
34,* Kai Häfner,5,0,0,5,55.56,8,0,0,0,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
44,* Lenny Rubin,3,0,0,3,100,1,1,1,2,0,0,0,Away,TVB Stuttgart,"20.09.2024, 19:00
Zuschauerzahl: 4687"
