Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
2,* Emil Hansson,2,0,0,2,100,0,0,0,2,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
5,* Josip Simic,3,0,0,3,75,1,1,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
6,* Marvin Siemer,8,5,100,3,88.89,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
7,* Nicolas Paulnsteiner,3,0,0,3,50,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
10,* Elias Kofler,1,0,0,1,100,6,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
12,* Martin Tomovski,0,0,0,0,0,0,0,0,0,0,3,16.67,Home,1. VfL Potsdam,"20.09.2024, 20:00"
13,* Ole Schramm,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
14,* Max Günther,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
17,* Jannek Klein,5,0,0,5,83.33,1,0,0,2,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
19,* David Cyrill Akakpo,2,0,0,2,100,1,0,1,2,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
22,* Maxim Orlov,2,0,0,2,50,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
23,* Sergey Gorpishin,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
27,* Nils Fuhrmann,0,0,0,0,0,0,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
28,* Marvin Kix,2,0,0,2,66.67,3,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
35,* Nicholas Schley,2,0,0,2,100,1,0,0,0,0,0,0,Home,1. VfL Potsdam,"20.09.2024, 20:00"
77,* Mark Ferjan,0,0,0,0,0,0,0,0,0,0,4,21.05,Home,1. VfL Potsdam,"20.09.2024, 20:00"
1,* Johannes Bitter,0,0,0,0,0,0,0,0,0,0,2,15.38,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
4,* Andreas Magaard,3,0,0,3,100,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
7,* Leif Tissier,3,0,0,3,60,9,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
9,* Jacob Arenth Lassen,5,0,0,5,100,4,0,0,1,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
13,* Niklas Weller,1,0,0,1,100,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
15,* Dominik Axmann,1,0,0,1,100,0,0,1,1,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
16,* Robin Paulsen Haug,0,0,0,0,0,0,0,0,0,0,4,20,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
21,* Frederik Bo Andersen,7,0,0,7,100,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
24,* Alexander Hartwig,2,0,0,2,66.67,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
31,* Levin Unbehaun,0,0,0,0,0,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
33,* Moritz Sauter,4,0,0,4,66.67,1,0,0,2,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
51,* Casper Mortensen,4,3,75,1,57.14,0,0,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
55,* Azat Valiullin,1,0,0,1,100,0,1,0,0,0,0,0,Away,Handball Sport Verein Hamburg,"20.09.2024, 20:00"
