Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Mikael  Appelgren,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
5,* Ivan Martinovic,7,4,100,3,58.33,3,0,1,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
8,* Tim Nothdurft,2,0,0,2,100,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
9,* Steven Plucnar Jacobsen,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
10,* Juri Knorr,5,0,0,5,55.56,2,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
11,* Arnór Snær Óskarsson,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
13,* Sebastian Heymann,4,0,0,4,80,2,1,1,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
15,* David Móré,2,0,0,2,100,1,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
22,* Gustav Davidsson,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
24,* Patrick Groetzki,0,0,0,0,0,1,0,0,1,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
25,* Olle Forsell Schefvert,1,0,0,1,50,2,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
29,* David Späth,2,0,0,2,100,1,0,0,0,0,15,36.59,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
42,* Jon Lindenchrone Andersen,0,0,0,0,0,0,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
80,* Jannik Kohlbacher,8,0,0,8,80,1,0,0,0,0,0,0,Home,Rhein-Neckar Löwen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
1,* Adam Morawski,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
4,* Nikolaj Enderleit,1,0,0,1,50,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
6,* Erik Balenciaga,0,0,0,0,0,4,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
7,* David Mandic,3,0,0,3,75,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
8,* Adrian Sipos,1,0,0,1,100,0,2,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
10,* Dainis Kristopans,4,0,0,4,57.14,2,0,0,1,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
11,* Dimitri Ignatow,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
13,* Rogerio  Moraes Ferreira,3,0,0,3,75,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
16,* Nebojsa Simic,0,0,0,0,0,1,0,1,0,0,12,31.58,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
19,* Elvar Örn Jonsson,3,0,0,3,42.86,2,2,1,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
21,* Arnar Freyr Arnarsson,1,0,0,1,50,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
24,* Alexandre Cavalcanti,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
33,* Aaron  Mensing,4,0,0,4,44.44,3,0,0,1,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
71,* Mohamed Amine Darmoul,0,0,0,0,0,0,0,0,1,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
73,* Timo Kastening,6,2,100,4,100,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
83,* Ian Barrufet,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"21.09.2024, 19:00
Zuschauerzahl: 6560"
