Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Benjamin Burić,0,0,0,0,0,0,0,0,0,0,7,31.82,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
2,* Simon  Pytlick,7,0,0,7,70,2,0,0,1,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
4,* Johannes Golla,2,0,0,2,100,0,1,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
5,* Niclas Kirkeløkke,1,0,0,1,50,3,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
19,* Oskar Czertowicz,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
20,* Kevin Møller,0,0,0,0,0,0,0,0,0,0,5,22.73,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
22,* Mads  Mensah Larsen,2,0,0,2,100,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
24,* Jim Gottfridsson,2,0,0,2,66.67,8,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
25,* Lukas Jørgensen,3,0,0,3,100,1,1,1,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
26,* Johan Hansen,5,0,0,5,83.33,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
27,* Aksel Horgen,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
29,* August Pedersen,1,0,0,1,100,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
31,* Emil Jakobsen,10,3,100,7,100,0,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
33,* Kay Smits,4,2,100,2,57.14,2,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
43,* Blaž Blagotinšek,0,0,0,0,0,0,0,0,1,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
64,* Lasse Møller,0,0,0,0,0,3,0,0,0,0,0,0,Home,SG Flensburg-Handewitt,"21.09.2024, 20:30
Zuschauerzahl: 6004"
2,* Oskar Neudeck,0,0,0,0,0,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
5,* Rutger ten Velde,1,0,0,1,33.33,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
7,* Victor Klöve,2,0,0,2,40,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
9,* Andreas Flodman,1,0,0,1,100,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
12,* Julian Buchele,0,0,0,0,0,0,0,0,0,0,4,16.67,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
13,* Josip Sarac,4,0,0,4,80,2,0,2,1,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
16,* Tibor Ivanisevic,0,0,0,0,0,0,0,0,0,0,2,10.53,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
20,* Ludvig Hallbäck,10,0,0,10,76.92,0,0,1,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
22,* Erik Persson,5,0,0,5,83.33,0,0,0,1,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
24,* Marcel Schiller,3,1,100,2,60,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
25,* Ludvig Jurmala Aström,0,0,0,0,0,0,0,0,1,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
27,* Oskar Sunnefeldt,3,0,0,3,50,2,0,1,1,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
28,* Franko Lastro,0,0,0,0,0,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
33,* Ymir Örn Gislason,2,0,0,2,100,1,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
40,* Elias Newel,0,0,0,0,0,0,0,0,0,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
77,* David Schmidt,1,0,0,1,33.33,0,0,0,1,0,0,0,Away,FRISCH AUF! Göppingen,"21.09.2024, 20:30
Zuschauerzahl: 6004"
