Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Adam Nyfjäll,0,0,0,0,0,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
9,* Vilhelm Poulsen,1,0,0,1,100,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
10,* Renars Uscins,11,0,0,11,68.75,5,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
16,* Simon Gade,0,0,0,0,0,0,0,0,0,0,6,26.09,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
19,* Marius Steinhauser,5,1,100,4,62.5,1,0,1,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
22,* Marian Michalczik,2,0,0,2,100,4,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
23,* Uladzislau Kulesh,2,0,0,2,66.67,3,0,1,1,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
26,* Jonathan Edvardsson,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
28,* Maximilian  Gerbl,0,0,0,0,0,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
35,* Joel Birlehm,0,0,0,0,0,0,0,0,0,0,4,19.05,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
39,* Lukas Stutzke,0,0,0,0,0,0,0,0,1,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
42,* Martin Hanne,4,0,0,4,80,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
44,* Thomas Alfred Solstad,1,0,0,1,100,0,0,0,1,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
54,* Justus Fischer,7,0,0,7,100,0,0,1,1,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
56,* Hannes Feise,0,0,0,0,0,0,0,0,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
74,* Vincent Büchner,3,0,0,3,100,2,0,2,0,0,0,0,Home,TSV Hannover-Burgdorf,"22.09.2024, 15:00
Zuschauerzahl: 8709"
1,* Lasse Ludwig,0,0,0,0,0,0,0,0,0,0,4,19.05,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
3,* Fabian Wiede,1,0,0,1,50,3,0,1,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
5,* Max Darj,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
9,* Jerry Tollbring,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
11,* Lasse Bredekjaer Andersson,9,0,0,9,60,4,0,0,1,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
17,* Nils Lichtlein,1,0,0,1,20,2,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
19,* Mathias Gidsel,9,0,0,9,100,1,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
20,* Tim Freihöfer,9,1,50,8,81.82,0,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
25,* Matthes Langhoff,0,0,0,0,0,0,0,0,2,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
27,* Max Beneke,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
29,* Lukas Herburger,0,0,0,0,0,0,0,0,1,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
34,* Hakun West av Teigum,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
36,* Tobias Reichmann,4,1,50,3,80,1,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
93,* Mijajlo Marsenic,2,0,0,2,100,0,0,0,1,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
95,* Paul Drux,0,0,0,0,0,0,0,0,0,0,0,0,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
96,* Dejan Milosavljev,0,0,0,0,0,0,0,0,0,0,6,23.08,Away,Füchse Berlin,"22.09.2024, 15:00
Zuschauerzahl: 8709"
