Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Andri Mar Runarsson,3,1,100,2,75,3,0,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
5,* Simon Ernst,0,0,0,0,0,1,0,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
7,* Luca Witzke,9,0,0,9,100,5,0,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
8,* Lucas Krzikalla,0,0,0,0,0,0,0,1,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
9,* Nils Greilich,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
11,* Lukas Binder,8,2,100,6,88.89,0,0,3,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
12,* Kristian Sæverås,1,0,0,1,100,0,0,0,0,0,14,35,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
13,* Matej Klima,2,0,0,2,50,4,0,0,1,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
14,* Marko Mamic,1,0,0,1,100,0,0,0,1,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
16,* Leopold Huber,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
18,* Staffan Peter,0,0,0,0,0,0,1,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
24,* Moritz Preuss,1,0,0,1,100,0,1,0,2,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
29,* Friedrich Schmitt,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
32,* Franz Semper,9,0,0,9,64.29,0,0,0,1,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
33,* Luka Rogan,0,0,0,0,0,0,0,0,1,0,0,0,Home,SC DHfK Leipzig,"22.09.2024, 16:30
Zuschauerzahl: 4321"
1,* Dominik Kuzmanović,0,0,0,0,0,0,0,0,0,0,10,31.25,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
4,* Ellidi Snaer Vidarsson,5,0,0,5,71.43,0,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
5,* Tilen Kodrin,0,0,0,0,0,1,0,0,1,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
6,* Milos Vujovic,7,6,100,1,100,0,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
7,* Julian Köster,4,0,0,4,66.67,4,2,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
8,* Lukas Blohme,6,0,0,6,85.71,0,0,0,1,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
11,* Mathis Häseler,0,0,0,0,0,0,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
14,* Teitur Örn Einarsson,0,0,0,0,0,1,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
15,* Miro Schluroff,0,0,0,0,0,1,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
16,* Bertram Obling,0,0,0,0,0,0,0,0,0,0,1,8.33,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
19,* Giorgi Tskhovrebadze,1,0,0,1,25,0,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
22,* Kentin Mahé,3,0,0,3,60,2,0,1,1,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
23,* Ole Pregler,1,0,0,1,33.33,1,0,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
27,* Kristjan Horzen,1,0,0,1,50,3,1,0,0,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
66,* Stepan Zeman,1,0,0,1,100,0,2,0,2,0,0,0,Away,VfL Gummersbach,"22.09.2024, 16:30
Zuschauerzahl: 4321"
