Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Sergey Hernández Ferrer,0,0,0,0,0,0,0,0,0,0,2,13.33,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
3,* Isak Persson,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
6,* Matthias Musche,8,2,100,6,88.89,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
8,* Manuel Zehnder,2,1,50,1,33.33,1,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
9,* Tim Zechel,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
10,* Gisli Thorgeir Kristjansson,3,0,0,3,50,6,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
11,* Daniel Pettersson,4,0,0,4,66.67,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
14,* Omar Ingi Magnusson,3,3,60,0,42.86,3,0,1,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
15,* Antonio Serradilla Cuenca,0,0,0,0,0,0,0,0,1,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
17,* Tim Hornke,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
20,* Philipp Weber,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
21,* Albin Lagergren,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
22,* Lukas Mertens,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC Magdeburg,"22.09.2024, 18:00
Zuschauerzahl: 6600"
