Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Luca Krivokapic,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
2,* Nico Bacani,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
5,* Jorge Serrano Villalobos,1,0,0,1,25,0,0,0,1,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
6,* Daniel Fernandez Jimenez,3,0,0,3,60,0,0,0,1,1,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
8,* Nico Schöttle,7,0,0,7,77.78,2,1,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
9,* Gianfranco Pribetic,5,0,0,5,71.43,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
11,* Bruno Reguart Massana,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
13,* Achilleas Toskas,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
14,* Ante Ivankovic,1,0,0,1,33.33,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
16,* Miljan Vujovic,0,0,0,0,0,0,0,0,0,0,5,17.86,Home,TVB Stuttgart,"25.09.2024, 19:00"
17,* Samuel Röthlisberger,2,0,0,2,100,0,0,0,1,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
24,* Lukas Laube,1,0,0,1,100,0,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
25,* Patrick Zieker,0,0,0,0,0,1,0,1,1,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
34,* Kai Häfner,6,0,0,6,50,8,0,0,0,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
44,* Lenny Rubin,2,0,0,2,66.67,1,0,0,1,0,0,0,Home,TVB Stuttgart,"25.09.2024, 19:00"
1,* Dominik Kuzmanović,0,0,0,0,0,3,0,0,0,0,10,26.32,Away,VfL Gummersbach,"25.09.2024, 19:00"
4,* Ellidi Snaer Vidarsson,6,0,0,6,85.71,1,2,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
5,* Tilen Kodrin,1,0,0,1,100,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
6,* Milos Vujovic,7,1,50,6,70,0,0,1,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
8,* Lukas Blohme,0,0,0,0,0,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
11,* Mathis Häseler,4,0,0,4,100,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
15,* Miro Schluroff,3,0,0,3,75,2,2,1,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
16,* Bertram Obling,0,0,0,0,0,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
19,* Giorgi Tskhovrebadze,1,0,0,1,50,1,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
22,* Kentin Mahé,7,0,0,7,58.33,2,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
23,* Ole Pregler,4,0,0,4,100,3,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
27,* Kristjan Horzen,2,0,0,2,100,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
32,* Mykola Protsiuk,0,0,0,0,0,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
66,* Stepan Zeman,0,0,0,0,0,0,0,0,0,0,0,0,Away,VfL Gummersbach,"25.09.2024, 19:00"
