Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Domenico Ebner,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
4,* Andri Mar Runarsson,3,0,0,3,60,1,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
5,* Simon Ernst,1,0,0,1,50,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
7,* Luca Witzke,6,0,0,6,85.71,3,0,0,1,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
8,* Lucas Krzikalla,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
9,* Nils Greilich,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
11,* Lukas Binder,2,0,0,2,40,0,0,1,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
12,* Kristian Sæverås,0,0,0,0,0,1,0,0,0,0,16,39.02,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
13,* Matej Klima,2,0,0,2,25,2,1,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
14,* Marko Mamic,0,0,0,0,0,0,0,1,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
18,* Staffan Peter,7,0,0,7,70,1,0,1,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
24,* Moritz Preuss,2,0,0,2,66.67,0,0,0,1,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
29,* Friedrich Schmitt,0,0,0,0,0,0,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
32,* Franz Semper,5,0,0,5,55.56,4,0,0,0,0,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
33,* Luka Rogan,0,0,0,0,0,0,0,0,1,1,0,0,Home,SC DHfK Leipzig,"26.09.2024, 19:00
Zuschauerzahl: 4117"
1,* Mikael  Appelgren,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
5,* Ivan Martinovic,9,4,66.67,5,56.25,3,0,1,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
8,* Tim Nothdurft,1,0,0,1,100,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
9,* Steven Plucnar Jacobsen,6,0,0,6,75,0,0,0,1,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
10,* Juri Knorr,1,0,0,1,25,4,0,0,1,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
11,* Arnór Snær Óskarsson,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
13,* Sebastian Heymann,3,0,0,3,37.5,4,0,1,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
15,* David Móré,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
22,* Gustav Davidsson,2,0,0,2,100,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
24,* Patrick Groetzki,2,0,0,2,50,0,0,1,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
25,* Olle Forsell Schefvert,2,0,0,2,50,1,0,1,1,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
29,* David Späth,0,0,0,0,0,0,0,0,0,0,16,39.02,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
34,* Valentin Willner,0,0,0,0,0,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
42,* Jon Lindenchrone Andersen,1,0,0,1,100,0,0,0,0,0,0,0,Away,Rhein-Neckar Löwen,"26.09.2024, 19:00
Zuschauerzahl: 4117"
