Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
4,* Domagoj Duvnjak,4,0,0,4,57.14,1,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
7,* Magnus Landin Jacobsen,1,0,0,1,100,0,0,0,1,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
11,* Petter Øverby,0,0,0,0,0,0,0,0,1,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
16,* Tomas Mrkva,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
17,* Patrick Wiencek,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
19,* Henri Pabst,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
21,* Eric Johansson,5,0,0,5,55.56,5,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
23,* Rune Dahmke,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
24,* Lukas Zerbe,1,0,0,1,100,1,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
25,* Linus Kutz,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
33,* Andreas Wolff,0,0,0,0,0,0,0,0,0,0,10,33.33,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
34,* Samir Bellahcene,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
45,* Emil Wernsdorf  Madsen,6,2,100,4,46.15,1,0,1,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
49,* Karl Erik Edvin Wallinius,0,0,0,0,0,0,0,0,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
61,* Hendrik Pekeler,2,0,0,2,66.67,0,0,0,1,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
91,* Bence Imre,0,0,0,0,0,0,0,1,0,0,0,0,Home,THW Kiel,"26.09.2024, 19:00
Zuschauerzahl: 9721"
1,* Adam Morawski,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
4,* Nikolaj Enderleit,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
6,* Erik Balenciaga,2,0,0,2,66.67,5,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
7,* David Mandic,2,0,0,2,100,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
8,* Adrian Sipos,1,0,0,1,33.33,0,1,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
10,* Dainis Kristopans,7,0,0,7,100,3,1,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
11,* Dimitri Ignatow,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
13,* Rogerio  Moraes Ferreira,1,0,0,1,50,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
16,* Nebojsa Simic,0,0,0,0,0,0,0,0,0,0,15,42.86,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
19,* Elvar Örn Jonsson,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
21,* Arnar Freyr Arnarsson,1,0,0,1,100,0,0,1,2,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
24,* Alexandre Cavalcanti,0,0,0,0,0,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
33,* Aaron  Mensing,6,0,0,6,85.71,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
71,* Mohamed Amine Darmoul,1,0,0,1,100,1,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
73,* Timo Kastening,3,0,0,3,60,0,0,0,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
83,* Ian Barrufet,1,1,50,0,50,0,0,1,0,0,0,0,Away,MT Melsungen,"26.09.2024, 19:00
Zuschauerzahl: 9721"
