Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
2,* Oskar Neudeck,1,0,0,1,100,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
5,* Rutger ten Velde,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
7,* Victor Klöve,1,0,0,1,100,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
9,* Andreas Flodman,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
12,* Julian Buchele,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
13,* Josip Sarac,9,0,0,9,69.23,1,0,2,1,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
16,* Tibor Ivanisevic,0,0,0,0,0,0,0,0,0,0,8,23.53,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
20,* Ludvig Hallbäck,5,0,0,5,71.43,2,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
22,* Erik Persson,3,0,0,3,75,3,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
24,* Marcel Schiller,1,1,33.33,0,20,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
25,* Ludvig Jurmala Aström,1,0,0,1,100,0,0,0,2,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
27,* Oskar Sunnefeldt,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
28,* Franko Lastro,3,0,0,3,100,0,0,1,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
33,* Ymir Örn Gislason,1,0,0,1,100,0,0,1,1,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
40,* Elias Newel,0,0,0,0,0,0,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
77,* David Schmidt,6,0,0,6,75,1,0,0,0,0,0,0,Home,FRISCH AUF! Göppingen,"27.09.2024, 19:00
Zuschauerzahl: 4200"
4,* Adam Nyfjäll,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
9,* Vilhelm Poulsen,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
10,* Renars Uscins,10,2,100,8,66.67,1,0,0,1,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
16,* Simon Gade,0,0,0,0,0,0,0,0,0,0,1,9.09,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
19,* Marius Steinhauser,4,2,66.67,2,66.67,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
22,* Marian Michalczik,2,0,0,2,100,7,0,0,1,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
25,* Tilen Strmljan,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
26,* Jonathan Edvardsson,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
28,* Maximilian  Gerbl,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
35,* Joel Birlehm,1,0,0,1,100,0,0,0,0,0,8,27.59,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
39,* Lukas Stutzke,1,0,0,1,25,3,0,0,1,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
42,* Martin Hanne,1,0,0,1,100,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
44,* Thomas Alfred Solstad,0,0,0,0,0,0,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
54,* Justus Fischer,9,1,100,8,90,1,1,1,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
56,* Hannes Feise,0,0,0,0,0,1,0,0,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
74,* Vincent Büchner,5,0,0,5,83.33,0,0,1,0,0,0,0,Away,TSV Hannover-Burgdorf,"27.09.2024, 19:00
Zuschauerzahl: 4200"
