Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Matija Spikic,0,0,0,0,0,0,0,0,0,0,14,36.84,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
5,* Timothy Reichmuth,1,0,0,1,100,1,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
6,* Aleksandar Capric,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
10,* Fynn Hangstein,6,3,60,3,46.15,1,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
11,* Gian Attenhofer,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
12,* Silvio Heinevetter,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
14,* Peter Walz,1,0,0,1,50,0,0,1,1,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
15,* Simone Mengon,7,0,0,7,70,1,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
17,* Marko Grgic,5,0,0,5,55.56,0,0,0,1,1,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
21,* Moritz Ende,1,0,0,1,50,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
27,* Philipp Meyer,0,0,0,0,0,1,0,0,1,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
34,* Rok Maric,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
39,* Malte Donker,1,0,0,1,100,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
47,* Dustin Kraus,1,0,0,1,20,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
52,* Justin Kurch,0,0,0,0,0,0,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
95,* Alexander Saul,2,0,0,2,40,2,0,0,0,0,0,0,Home,ThSV Eisenach,"27.09.2024, 20:00
Zuschauerzahl: 2800"
1,* Benjamin Burić,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
2,* Simon  Pytlick,9,0,0,9,75,1,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
4,* Johannes Golla,1,0,0,1,50,0,1,0,1,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
5,* Niclas Kirkeløkke,2,0,0,2,40,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
20,* Kevin Møller,0,0,0,0,0,0,0,0,0,0,11,32.35,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
22,* Mads  Mensah Larsen,1,0,0,1,100,1,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
24,* Jim Gottfridsson,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
25,* Lukas Jørgensen,2,0,0,2,66.67,0,1,1,1,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
26,* Johan Hansen,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
27,* Aksel Horgen,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
29,* August Pedersen,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
31,* Emil Jakobsen,6,2,66.67,4,50,1,0,1,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
33,* Kay Smits,4,0,0,4,66.67,2,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
43,* Blaž Blagotinšek,0,0,0,0,0,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
64,* Lasse Møller,5,0,0,5,100,0,0,0,0,0,0,0,Away,SG Flensburg-Handewitt,"27.09.2024, 20:00
Zuschauerzahl: 2800"
