Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Johannes Bitter,0,0,0,0,0,0,0,0,0,0,1,33.33,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
4,* Andreas Magaard,1,0,0,1,100,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
7,* Leif Tissier,5,0,0,5,71.43,3,0,0,2,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
9,* Jacob Arenth Lassen,3,0,0,3,50,5,1,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
12,* Mohamed Essam Moustafa El-Tayar,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
13,* Niklas Weller,8,0,0,8,100,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
15,* Dominik Axmann,3,0,0,3,50,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
16,* Robin Paulsen Haug,0,0,0,0,0,0,0,0,0,0,10,31.25,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
20,* Ben Levermann,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
21,* Frederik Bo Andersen,3,0,0,3,75,1,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
24,* Alexander Hartwig,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
31,* Levin Unbehaun,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
33,* Moritz Sauter,3,0,0,3,75,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
51,* Casper Mortensen,4,3,100,1,66.67,3,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
55,* Azat Valiullin,0,0,0,0,0,0,0,0,0,0,0,0,Home,Handball Sport Verein Hamburg,"28.09.2024, 19:00
Zuschauerzahl: 2779"
1,* Constantin  Möstl,0,0,0,0,0,1,0,0,0,0,5,22.73,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
2,* Lukas Hutecek,3,0,0,3,100,1,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
3,* Nicolai Theilinger,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
4,* Samuel Zehnder,9,8,100,1,81.82,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
5,* Jan Brosch,3,0,0,3,42.86,0,0,0,1,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
7,* Ben Connar Battermann,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
8,* Frederik Simak,2,0,0,2,100,1,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
14,* Bobby Schagen,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
21,* Leve Carstensen,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
23,* Tim Suton,4,0,0,4,57.14,3,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
25,* Niels Gerardus Versteijnen,1,0,0,1,100,1,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
28,* Hendrik Wagner,2,0,0,2,66.67,0,2,0,1,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
35,* Jarnes Faust,2,0,0,2,50,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
48,* Leos Petrovsky,0,0,0,0,0,0,0,0,0,0,0,0,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
99,* Urh Kastelic,0,0,0,0,0,0,0,0,0,0,4,23.53,Away,TBV Lemgo Lippe,"28.09.2024, 19:00
Zuschauerzahl: 2779"
