Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
3,* Nikola Vlahovic,2,0,0,2,25,0,0,0,1,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
5,* Julius Kühn,9,0,0,9,69.23,2,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
7,* Dominik Claus,3,0,0,3,42.86,2,0,0,1,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
10,* Tom Wolf,4,2,100,2,80,3,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
12,* Filip Baranasic,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
13,* Juan de la Peña,1,0,0,1,25,1,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
14,* Fynn-Luca Nicolaus,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
16,* Fredrik Genz,0,0,0,0,0,0,0,0,0,0,3,37.5,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
18,* Fabian Wiederstein,2,0,0,2,100,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
19,* Gonzalo Perez Arce,2,2,100,0,100,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
20,* Paco Barthe,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
24,* Jona Bader,0,0,0,0,0,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
29,* Moritz Strosack,3,0,0,3,75,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
31,* Alexander Pfeifer,2,0,0,2,66.67,0,0,0,0,0,0,0,Home,SG BBM Bietigheim,"29.09.2024, 15:00
Zuschauerzahl: 2524"
