Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
2,* Nico Bacani,1,0,0,1,100,0,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
5,* Jorge Serrano Villalobos,1,0,0,1,50,1,1,1,1,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
6,* Daniel Fernandez Jimenez,4,1,50,3,44.44,0,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
8,* Nico Schöttle,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
9,* Gianfranco Pribetic,3,0,0,3,60,0,0,0,2,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
11,* Bruno Reguart Massana,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
13,* Achilleas Toskas,3,0,0,3,75,0,0,1,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
14,* Ante Ivankovic,0,0,0,0,0,2,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
16,* Miljan Vujovic,0,0,0,0,0,0,0,0,0,0,8,25,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
17,* Samuel Röthlisberger,0,0,0,0,0,0,3,2,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
21,* Luca Tschentscher,0,0,0,0,0,0,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
24,* Lukas Laube,3,0,0,3,100,0,0,0,0,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
25,* Patrick Zieker,0,0,0,0,0,3,0,0,1,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
34,* Kai Häfner,1,0,0,1,100,2,0,0,0,1,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
44,* Lenny Rubin,7,0,0,7,43.75,1,0,0,1,0,0,0,Home,TVB Stuttgart,"29.09.2024, 16:30
Zuschauerzahl: 4142"
5,* Rasmus Meyer Ejlersen,2,0,0,2,100,0,2,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
7,* Dominik Mappes,7,0,0,7,77.78,1,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
9,* Ole Klimpke,1,0,0,1,50,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
10,* Zolt  Krakovszki,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
11,* Till Klimpke,0,0,0,0,0,0,0,0,0,0,10,32.26,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
12,* Anadin Suljakovic,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
14,* Vladimir Vranjes,0,0,0,0,0,0,1,1,2,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
18,* Lukas Becher,4,2,66.67,2,66.67,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
19,* Philipp Ahouansou,0,0,0,0,0,2,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
22,* Jona Schoch,0,0,0,0,0,0,0,0,2,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
25,* Justin Müller,1,0,0,1,100,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
33,* Georg Löwen,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
42,* Nemanja Zelenovic,1,0,0,1,33.33,3,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
50,* Lion Zacharias,0,0,0,0,0,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
75,* Domen Novak,6,1,50,5,85.71,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
77,* Stefan Cavor,4,0,0,4,66.67,0,0,0,0,0,0,0,Away,HSG Wetzlar,"29.09.2024, 16:30
Zuschauerzahl: 4142"
