Jersey_number,Name,T,7M,7M W%,FT,W%,A,B,St,2Min,RK,P,P%,Team_Type,Team,Date
1,* Lasse Ludwig,0,0,0,0,0,0,0,0,0,0,14,34.15,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
3,* Fabian Wiede,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
5,* Max Darj,1,0,0,1,100,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
9,* Jerry Tollbring,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
11,* Lasse Bredekjaer Andersson,8,0,0,8,53.33,3,0,1,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
17,* Nils Lichtlein,2,0,0,2,40,1,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
19,* Mathias Gidsel,8,0,0,8,66.67,4,0,2,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
20,* Tim Freihöfer,4,2,100,2,57.14,1,0,1,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
25,* Matthes Langhoff,3,0,0,3,50,0,0,0,1,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
27,* Max Beneke,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
29,* Lukas Herburger,1,0,0,1,100,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
34,* Hakun West av Teigum,3,0,0,3,100,1,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
36,* Tobias Reichmann,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
93,* Mijajlo Marsenic,0,0,0,0,0,1,1,0,1,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
96,* Dejan Milosavljev,0,0,0,0,0,0,0,0,0,0,0,0,Home,Füchse Berlin,"29.09.2024, 16:30
Zuschauerzahl: 6425"
4,* Stephan Seitz,3,0,0,3,60,2,0,0,1,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
6,* Marek Nissen,4,0,0,4,40,3,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
8,* Sander Andreassen Øverjordet,2,0,0,2,50,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
10,* Florian Scheerer,1,0,0,1,100,0,0,0,1,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
21,* Christopher Bissel,2,0,0,2,100,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
22,* Klemen Ferlin,0,0,0,0,0,0,0,0,0,0,14,33.33,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
25,* Marko Bezjak,0,0,0,0,0,5,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
27,* Antonio Metzner,2,0,0,2,50,1,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
28,* Jonathan Svensson,2,0,0,2,66.67,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
33,* Nikolai Link,0,0,0,0,0,1,0,1,1,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
44,* Christoph Steinert,0,0,0,0,0,3,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
55,* Tobias Wagner,0,0,0,0,0,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
67,* Hampus Olsson,6,0,0,6,85.71,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
95,* Tim Gömmel,5,1,50,4,62.5,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
96,* Khalifa Ghedbane,0,0,0,0,0,0,0,0,0,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
99,* Stefan Bauer,0,0,0,0,0,0,0,0,2,0,0,0,Away,HC Erlangen,"29.09.2024, 16:30
Zuschauerzahl: 6425"
