name,slug,shortName,position,jerseyNumber,userCount,Player_id,country,marketValueCurrency,dateOfBirthTimestamp,twoMinutePenalties,technicalFaults,yellowCards,gk6mSaves,gk6mShots,shotsTaken,goals,assists,goals7m,goals6m,shots6m,fastbreakGoals,fastbreakShots,steals,blockedShots,goals9m,shots9m,breakthroughGoals,breakthroughShots,fieldTranslations,wingGoals,pivotGoals,pivotShots,firstName,lastName,saves,gkShots,gk7mGoals,gk7mShots,gk7mSaves,gkPivotSaves,gkPivotShots,gk9mSaves,gk9mShots,gkBreakthroughSaves,gkBreakthroughShots,gkFastbreakGoals,gkFastbreakShots,gkWingSaves,gkWingShots,gkGoalsConceded,secondsPlayed,gkFastbreakSaves,shots7m,team_name,team_id,home_score,away_score,start_timestamp,matchid_lineup,MatchTeamGame,gkBackcourtShots,gkBackcourtSaves
Jarnes Faust,faust-jarnes,J. Faust,RW,35,14,1383080,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1093478400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Hendrik Wagner,wagner-hendrik,H. Wagner,LB,28,13,946682,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,871603200.0,1,1,0,0,0,8,4,0,0,3,5,0,0,0,0,1.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Bobby Schagen,schagen-bobby,B. Schagen,RW,14,19,808936,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands'}",EUR,632188800.0,0,0,0,0,0,3,2,0,0,2,1,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'شاغن, بوبي'}, 'shortNameTranslation': {'ar': 'ب. شاغن'}}",2.0,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Nicolai Theilinger,theilinger-nicolai,N. Theilinger,RB,3,3,808950,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,697593600.0,0,0,0,0,0,3,1,0,0,1,2,0,1,0,0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Tim Suton,suton-tim,T. Suton,CB,23,35,808935,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,831513600.0,1,0,0,0,0,5,2,1,0,2,4,0,0,0,0,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Jan Brosch,brosch-jan,J. Brosch,P,5,4,806848,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,685497600.0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Frederik Simak,simak-frederik,F. Simak,LB,8,4,877126,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,885600000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Leos Petrovsky,petrovsky-leos,L. Petrovsky,P,48,3,894641,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia'}",EUR,726192000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Urh Kastelic,kastelic-urh,U. Kastelic,G,99,17,902471,"{'alpha2': 'SI', 'alpha3': 'SVN', 'name': 'Slovenia'}",EUR,825379200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'كاستيليتش, اوره'}, 'shortNameTranslation': {'ar': 'ا. كاستيليتش'}}",,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Lukas Hutecek,hutecek-lukas,L. Hutecek,CB,2,90,949110,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria'}",EUR,962496000.0,0,0,0,0,0,5,2,3,0,2,4,0,0,0,0,,1.0,1.0,1.0,"{'nameTranslation': {'ar': 'هوتيسيك, لوكاس'}, 'shortNameTranslation': {'ar': 'ل. هوتيسيك'}}",,,,Lukas,Hutecek,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
