clock,description,player_name,event_type,success,x,y,team_id,period_id,jersey_number,event_subtype,person_id,person_image,home_score,away_score,event_id,club,date,match_set
PT0M44S,Zwei-Minuten Strafe,Ian Barrufet,suspension,,,,feb41b46-3952-11ef-9df6-af5c55c3771d,1,83.0,twoMinutes,7ae3cb32-48ec-11ef-9dcd-8938f5d55858,https://images.dc.prod.cloud.atriumsports.com/h1s44/3bb27cc1d7bd44c99b9ae21f6c929144,0,0,7ad9da30-6ba8-11ef-9095-5ffb74e53466,MT Melsungen,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT4M37S,Zwei-Minuten Strafe,Adrian Sipos,suspension,True,18.7,21.3,feb41b46-3952-11ef-9df6-af5c55c3771d,1,8.0,twoMinutes,0eedb316-3956-11ef-a46d-63392ed267d4,https://images.dc.prod.cloud.atriumsports.com/h1s44/0fa75816eccc4e829d6305c12591556d,2,3,1afda410-6ba9-11ef-9095-5ffb74e53466,MT Melsungen,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT8M25S,Zwei-Minuten Strafe,,suspension,,79.58,27.01,fe99a935-3952-11ef-9dd4-af5c55c3771d,1,,twoMinutes,5d581e81-3953-11ef-81e3-a9530db97767,,4,5,af14b670-6ba9-11ef-9095-5ffb74e53466,TBV Lemgo Lippe,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT15M38S,Zwei-Minuten Strafe,Adrian Sipos,suspension,False,81.43,24.94,feb41b46-3952-11ef-9df6-af5c55c3771d,1,8.0,twoMinutes,0eedb316-3956-11ef-a46d-63392ed267d4,https://images.dc.prod.cloud.atriumsports.com/h1s44/0fa75816eccc4e829d6305c12591556d,5,9,d396c320-6baa-11ef-9095-5ffb74e53466,MT Melsungen,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT18M52S,Zwei-Minuten Strafe,Alexandre Cavalcanti,suspension,,18.94,43.12,feb41b46-3952-11ef-9df6-af5c55c3771d,1,24.0,twoMinutes,6e74bb37-48f1-11ef-9949-270cb1769d76,https://images.dc.prod.cloud.atriumsports.com/h1s44/9d9e48d472ad4f40a089a27c19bb7fe4,7,9,67cfdc70-6bab-11ef-9095-5ffb74e53466,MT Melsungen,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT24M7S,Auszeit eines Teams,,timeOut,False,21.4,43.64,fe99a935-3952-11ef-9dd4-af5c55c3771d,1,,team,,,8,11,5361a5b1-6bac-11ef-9095-5ffb74e53466,TBV Lemgo Lippe,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT29M8S,Auszeit eines Teams,,timeOut,True,83.27,76.88,feb41b46-3952-11ef-9df6-af5c55c3771d,1,,team,,,11,12,6d6c40e1-6bad-11ef-9095-5ffb74e53466,MT Melsungen,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT6M25S,Zwei-Minuten Strafe,Tim Suton,suspension,True,79.09,44.42,fe99a935-3952-11ef-9dd4-af5c55c3771d,2,23.0,twoMinutes,46c672ef-3953-11ef-986c-855e48b08f9c,https://images.dc.prod.cloud.atriumsports.com/h1s44/eb44fc597fbb48cbb4639e7267e7013a,13,17,47bfa4a0-6bb1-11ef-9095-5ffb74e53466,TBV Lemgo Lippe,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT10M12S,Zwei-Minuten Strafe,Hendrik Wagner,suspension,False,20.91,48.05,fe99a935-3952-11ef-9dd4-af5c55c3771d,2,28.0,twoMinutes,ac2f59b3-3954-11ef-b777-8165bb7d37eb,https://images.dc.prod.cloud.atriumsports.com/h1s44/7922944f4ab94b94b3d2952d5bc40312,14,18,d31cfb10-6bb1-11ef-9095-5ffb74e53466,TBV Lemgo Lippe,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
PT19M26S,Auszeit eines Teams,,timeOut,False,79.09,48.31,fe99a935-3952-11ef-9dd4-af5c55c3771d,2,,team,,,16,20,8a77f4d1-6bb3-11ef-9095-5ffb74e53466,TBV Lemgo Lippe,2024-09-05T19:00:00,TBV Lemgo Lippe vs MT Melsungen
